EventID,Timestamp,Source IP,Destination IP,Protocol,Action,Bytes Sent,Risk Score
N00035,2025-03-30 13:46:59,220.216.74.225,75.49.56.235,HTTPS,Block,46662,0.31
N00036,2025-03-31 18:06:34,12.73.2.246,154.177.186.176,HTTPS,Allow,36000,0.84
N00037,2025-04-08 21:42:37,201.149.54.107,200.98.170.173,ICMP,Allow,35589,0.03
N00038,2025-04-07 08:39:17,50.82.252.102,56.90.161.246,ICMP,Reset,44510,0.79
N00039,2025-03-16 05:13:56,100.140.218.82,24.36.154.180,HTTP,Block,22411,0.45
N00040,2025-04-06 03:49:12,169.53.251.133,222.130.179.228,HTTPS,Allow,7938,0.75
N00041,2025-03-30 23:57:57,120.135.104.182,167.133.188.86,UDP,Reset,24627,0.42
N00042,2025-04-09 08:54:57,37.60.120.17,178.229.207.20,HTTP,Block,20066,0.77
N00043,2025-04-06 19:57:25,76.31.129.70,202.192.55.108,HTTPS,Allow,29126,0.07
N00044,2025-03-28 20:45:29,172.100.56.60,105.132.123.110,HTTPS,Block,40106,0.69
N00045,2025-03-15 13:13:29,149.35.192.46,143.138.42.29,ICMP,Reset,47073,0.8
N00046,2025-03-26 02:41:27,186.142.71.250,194.189.101.211,UDP,Reset,6824,0.59
N00047,2025-03-30 09:42:57,125.87.180.83,194.55.46.164,UDP,Reset,1068,0.55
N00048,2025-03-16 00:56:45,171.250.141.84,207.102.221.164,UDP,Block,20559,0.15
N00049,2025-04-08 03:02:00,208.138.69.44,59.65.223.1,UDP,Reset,31316,0.19
N00050,2025-03-15 12:04:06,208.207.0.122,17.94.147.210,ICMP,Allow,11792,0.63
N00051,2025-03-30 15:15:06,6.26.101.226,189.28.229.89,UDP,Reset,23411,0.35
N00052,2025-03-27 05:38:32,223.129.158.164,221.234.1.190,UDP,Reset,18266,0.05
N00053,2025-04-09 04:50:05,154.56.51.198,196.223.139.27,HTTP,Reset,20448,0.39
N00054,2025-03-29 19:01:27,139.48.164.233,205.205.187.223,HTTP,Block,19016,0.13
N00055,2025-03-17 09:28:08,54.12.182.82,103.44.153.105,HTTPS,Reset,30807,0.39
N00056,2025-04-02 11:56:06,201.202.253.106,135.199.9.119,UDP,Allow,46694,0.15
N00057,2025-04-04 03:04:43,27.216.212.224,131.144.234.142,HTTP,Block,16786,0.88
N00058,2025-03-17 01:11:46,212.206.178.47,171.245.67.235,TCP,Block,14911,0.05
N00059,2025-03-30 23:19:02,46.129.23.118,204.26.96.101,HTTPS,Reset,41850,0.41
N00060,2025-04-10 05:12:38,205.39.28.5,201.207.121.71,HTTP,Allow,36933,0.96
N00061,2025-04-03 20:26:27,205.188.55.228,118.202.54.119,HTTP,Allow,15626,0.84
N00062,2025-03-14 21:25:58,112.66.80.109,194.248.81.48,HTTPS,Reset,47870,0.12
N00063,2025-03-30 18:27:47,213.3.208.32,223.127.203.165,UDP,Allow,1152,0.24
N00064,2025-04-07 12:10:18,150.56.191.164,61.149.165.148,ICMP,Block,4821,0.38
N00065,2025-03-30 13:19:54,159.241.27.26,198.80.61.162,TCP,Block,29875,0.53
N00066,2025-03-21 16:22:45,185.184.61.71,140.204.104.209,HTTP,Reset,21551,0.02
N00067,2025-03-24 13:27:07,162.108.191.199,208.236.148.13,ICMP,Block,29303,0.28
N00068,2025-03-15 00:16:51,183.160.246.212,161.126.121.208,ICMP,Reset,39359,0.46
N00069,2025-03-16 00:27:06,151.162.208.196,207.173.67.85,UDP,Reset,28029,0.44
N00070,2025-03-27 01:22:51,178.221.72.74,154.0.249.3,HTTP,Allow,26076,0.08
N00071,2025-04-07 07:29:18,199.62.175.233,202.61.167.228,HTTPS,Block,7560,0.16
N00072,2025-03-15 10:46:32,211.94.214.89,211.183.245.246,UDP,Reset,42628,0.67
N00073,2025-03-20 01:38:57,2.88.89.167,63.187.230.69,HTTP,Block,21479,0.44
N00074,2025-04-11 16:52:15,49.18.163.117,85.57.157.81,UDP,Reset,12869,0.72
N00075,2025-04-11 00:19:55,219.90.246.156,122.232.244.176,HTTP,Reset,18309,0.06
N00076,2025-03-16 07:41:45,214.200.252.208,213.13.34.6,HTTPS,Allow,30348,0.2
N00077,2025-03-20 05:10:50,208.205.219.193,196.114.162.78,ICMP,Block,42671,0.92
N00078,2025-03-24 16:18:59,11.15.115.93,101.149.200.21,HTTP,Reset,47805,0.14
N00079,2025-03-26 13:47:46,78.169.171.66,28.128.20.105,ICMP,Block,43281,0.85
N00080,2025-03-31 16:27:14,192.170.228.212,73.235.236.106,TCP,Reset,28126,0.13
N00081,2025-03-28 22:21:47,193.231.47.161,156.228.152.188,ICMP,Block,14883,0.55
N00082,2025-03-25 22:23:26,186.204.167.160,160.59.145.81,HTTP,Reset,3712,0.51
N00083,2025-03-21 23:44:58,222.223.119.78,133.197.186.163,HTTP,Allow,7862,0.79
N00084,2025-04-10 04:25:07,14.221.232.42,209.194.175.16,UDP,Reset,29481,0.49
N00085,2025-04-01 01:11:48,143.188.246.92,223.85.43.193,HTTPS,Block,14083,0.01
N00086,2025-03-21 01:22:10,205.235.158.158,205.59.112.26,HTTPS,Reset,26655,0.53
N00087,2025-03-16 23:32:07,197.229.202.47,153.179.122.37,HTTPS,Block,10804,0.26
N00088,2025-03-21 16:53:51,196.121.118.21,68.239.92.49,ICMP,Reset,37616,0.17
N00089,2025-03-24 10:40:00,218.147.137.138,174.149.186.253,TCP,Reset,5724,0.5
N00090,2025-03-28 20:32:56,168.173.126.137,109.149.64.198,UDP,Reset,29418,0.37
N00091,2025-03-19 02:10:30,119.156.199.196,178.97.90.104,TCP,Allow,2495,0.47
N00092,2025-04-06 19:02:32,61.202.108.119,221.151.125.20,TCP,Block,1350,0.02
N00093,2025-04-10 14:27:35,164.109.13.185,72.3.115.185,TCP,Reset,22255,0.54
N00094,2025-04-08 17:19:33,209.221.110.242,8.234.225.223,UDP,Reset,32503,0.4
N00095,2025-04-10 00:19:00,207.195.126.174,187.82.157.221,HTTP,Reset,33145,0.48
N00096,2025-03-19 10:41:00,133.193.97.252,94.176.214.144,UDP,Allow,26137,0.59
N00097,2025-03-21 17:55:01,133.168.188.69,144.169.108.122,UDP,Reset,45910,0.68
N00098,2025-04-08 09:56:06,44.39.45.181,209.58.167.172,ICMP,Block,18885,0.36
N00099,2025-03-29 16:23:23,172.62.206.235,121.157.137.150,UDP,Reset,28435,0.52
N00100,2025-04-01 08:47:22,221.163.215.23,204.148.174.3,TCP,Allow,23591,0.24
N00101,2025-04-12 01:32:00,51.117.163.77,106.135.81.180,ICMP,Allow,43940,0.03
N00102,2025-03-27 23:38:34,137.54.224.115,173.215.86.33,UDP,Allow,43659,0.04
N00103,2025-03-20 02:33:24,3.131.0.47,80.117.210.143,HTTP,Block,48300,0.79
N00104,2025-03-21 21:14:57,16.193.182.125,138.246.70.59,HTTP,Block,13932,0.32
N00105,2025-04-13 10:34:01,18.44.71.122,208.192.124.136,TCP,Allow,12370,0.63
N00106,2025-04-07 20:37:00,193.201.65.47,133.184.120.37,HTTPS,Allow,1378,0.71
N00107,2025-03-19 16:40:58,194.240.196.247,77.164.39.228,UDP,Allow,36121,0.41
N00108,2025-03-23 20:46:52,214.18.220.139,75.150.55.33,UDP,Reset,33195,0.27
N00109,2025-03-15 06:24:19,150.176.16.30,155.42.5.167,TCP,Allow,31148,0.5
N00110,2025-03-15 07:43:52,150.126.223.108,166.204.53.203,UDP,Reset,4934,0.32
N00111,2025-04-01 18:04:28,172.107.150.177,19.239.89.241,TCP,Block,5093,1.0
N00112,2025-04-13 13:26:09,207.93.205.99,211.240.211.183,HTTPS,Block,42427,0.97
N00113,2025-03-29 12:01:46,76.52.206.66,184.241.32.125,HTTP,Reset,3680,0.26
N00114,2025-03-15 03:36:53,195.56.69.194,204.193.63.44,HTTP,Reset,20120,0.01
N00115,2025-03-19 16:27:33,210.244.9.232,109.44.20.3,HTTP,Allow,22919,0.84
N00116,2025-04-12 03:23:33,214.133.243.50,202.52.197.234,HTTPS,Allow,24568,0.66
N00117,2025-04-09 10:09:10,197.205.181.252,154.135.160.108,ICMP,Block,41331,0.72
N00118,2025-03-19 22:03:58,134.160.231.213,30.0.76.243,UDP,Allow,4264,0.08
N00119,2025-03-30 10:04:51,223.117.237.138,66.19.6.91,UDP,Reset,44610,0.99
N00120,2025-03-26 03:20:25,137.215.10.70,128.49.158.252,HTTPS,Allow,18943,0.28
N00121,2025-04-10 17:30:34,160.102.176.63,178.130.35.65,UDP,Reset,12459,0.74
N00122,2025-04-04 14:04:01,198.234.158.1,143.162.172.54,TCP,Allow,25245,0.54
N00123,2025-03-27 12:29:31,49.237.45.87,180.52.214.16,UDP,Allow,33464,0.27
N00124,2025-03-23 04:36:27,203.1.128.37,218.102.167.189,TCP,Reset,18312,0.89
N00125,2025-04-03 02:28:13,149.206.181.118,157.130.219.78,HTTPS,Block,3141,0.42
N00126,2025-04-06 10:52:57,196.254.95.177,209.243.95.17,TCP,Allow,31175,0.22
N00127,2025-03-30 01:51:49,215.101.231.82,94.119.32.253,TCP,Block,35651,0.76
N00128,2025-03-30 13:28:50,205.247.136.174,134.212.78.224,UDP,Allow,12749,0.45
N00129,2025-03-28 20:46:29,64.136.255.232,156.203.215.116,HTTP,Allow,43234,0.91
N00130,2025-03-26 15:39:10,47.87.221.114,208.172.238.101,TCP,Allow,42066,0.75
N00131,2025-04-11 02:29:30,215.233.68.135,151.149.117.173,ICMP,Block,39475,0.91
N00132,2025-04-13 01:30:01,218.161.188.72,71.106.186.191,ICMP,Block,8830,0.5
N00133,2025-03-15 12:49:49,212.183.38.234,136.124.221.44,HTTP,Reset,49799,0.43
N00134,2025-04-04 10:26:23,204.37.37.220,117.252.102.219,ICMP,Block,24937,0.69
N00135,2025-04-13 03:15:48,204.117.57.53,216.168.241.171,TCP,Reset,45540,0.17
N00136,2025-03-21 22:11:37,146.232.107.119,176.208.87.162,HTTP,Block,16686,0.84
N00137,2025-03-31 08:04:21,177.225.205.42,218.223.38.116,HTTPS,Reset,37069,0.21
N00138,2025-03-25 08:05:09,184.174.44.11,41.81.206.93,HTTP,Reset,1871,0.49
N00139,2025-03-30 11:36:26,199.177.19.131,216.131.145.118,TCP,Reset,8623,0.42
N00140,2025-04-13 06:23:06,169.34.172.195,19.77.98.175,HTTP,Reset,46063,0.41
N00141,2025-03-29 15:30:20,63.39.90.41,102.103.139.60,ICMP,Reset,29878,0.4
N00142,2025-03-28 06:31:24,138.23.183.136,41.149.36.70,TCP,Block,3631,0.43
N00143,2025-03-28 22:04:06,160.73.15.115,195.115.196.60,HTTP,Reset,24628,0.34
N00144,2025-03-30 14:59:45,186.196.235.87,222.163.52.12,HTTPS,Allow,41361,0.64
N00145,2025-03-23 21:58:28,160.105.194.119,88.70.245.234,HTTP,Block,2310,0.56
N00146,2025-04-10 21:33:50,37.213.231.217,168.117.6.31,TCP,Reset,33342,0.04
N00147,2025-03-14 17:01:53,205.96.158.186,193.189.185.89,ICMP,Block,15036,0.46
N00148,2025-03-30 21:19:02,217.191.123.147,18.180.123.5,TCP,Reset,34274,0.1
N00149,2025-03-30 04:07:37,144.109.62.111,31.60.216.203,HTTPS,Reset,4126,0.92
N00150,2025-03-21 21:16:49,212.170.186.31,196.184.87.165,TCP,Block,49933,0.02
N00151,2025-03-28 01:38:53,198.80.73.76,194.13.85.133,ICMP,Reset,49700,0.53
N00152,2025-03-26 09:09:32,178.166.89.95,42.232.66.230,HTTPS,Block,20308,0.12
N00153,2025-04-09 16:50:54,213.79.56.99,193.12.9.96,ICMP,Block,16925,0.3
N00154,2025-04-06 15:27:52,195.217.166.36,219.14.231.167,ICMP,Block,18931,0.42
N00155,2025-04-06 12:06:25,119.227.113.210,171.222.4.59,HTTPS,Block,1621,0.92
N00156,2025-04-03 05:56:32,220.133.161.238,220.115.185.184,ICMP,Allow,15451,0.56
N00157,2025-03-27 18:54:05,25.116.135.67,83.219.24.82,HTTPS,Block,46262,0.38
N00158,2025-03-29 07:57:56,169.171.111.238,8.150.135.132,TCP,Allow,38797,0.7
N00159,2025-03-27 15:16:22,204.130.56.78,119.31.0.218,TCP,Block,31501,0.87
N00160,2025-03-27 13:11:43,202.163.238.209,120.20.219.21,TCP,Reset,41568,0.1
N00161,2025-03-31 12:20:27,136.118.241.47,161.158.171.79,ICMP,Reset,10505,0.24
N00162,2025-03-27 20:22:02,152.90.44.36,142.165.206.137,ICMP,Block,15786,0.01
N00163,2025-03-21 15:42:00,206.111.208.140,194.201.196.224,TCP,Allow,45450,0.52
N00164,2025-03-27 17:53:59,130.2.232.44,133.205.166.127,UDP,Block,7343,0.71
N00165,2025-04-05 14:36:07,45.96.20.8,3.92.42.3,HTTPS,Allow,23488,0.55
N00166,2025-03-16 20:48:20,177.9.91.67,214.96.146.22,ICMP,Allow,41655,0.65
N00167,2025-03-24 12:14:34,69.37.255.36,223.35.178.211,ICMP,Block,969,0.44
N00168,2025-03-15 04:50:05,222.211.194.151,142.241.42.251,HTTPS,Block,41603,0.55
N00169,2025-04-05 03:09:20,222.245.1.16,167.10.209.178,ICMP,Allow,21995,0.74
N00170,2025-04-07 22:21:57,27.173.130.39,215.78.9.64,UDP,Reset,43005,0.28
N00171,2025-04-13 10:24:18,210.163.249.47,149.230.137.54,ICMP,Reset,42267,0.91
N00172,2025-03-18 21:56:26,168.81.85.21,46.169.63.76,HTTP,Allow,21050,0.49
N00173,2025-04-09 18:31:26,114.224.103.134,174.192.77.171,HTTP,Block,46439,0.51
N00174,2025-03-25 08:46:30,204.167.112.226,41.48.150.167,UDP,Allow,34784,0.29
N00175,2025-03-20 23:21:03,77.118.181.12,185.138.173.106,ICMP,Block,13890,0.51
N00176,2025-03-26 13:18:46,13.20.173.67,189.110.29.17,HTTP,Block,49705,0.09
N00177,2025-03-19 14:06:18,206.152.230.235,215.102.167.34,TCP,Reset,17381,0.51
N00178,2025-03-19 09:00:48,83.174.127.88,169.140.24.25,HTTPS,Allow,26031,0.41
N00179,2025-03-15 17:25:12,17.167.197.112,151.176.78.109,TCP,Allow,42665,0.11
N00180,2025-03-26 21:18:56,78.111.153.165,131.78.47.219,UDP,Block,17005,0.53
N00181,2025-04-02 16:36:40,204.209.87.3,179.213.226.189,HTTP,Block,34455,0.8
N00182,2025-03-25 22:28:41,204.117.197.237,135.175.79.193,UDP,Reset,42565,0.97
N00183,2025-03-31 15:00:27,221.91.52.216,110.54.71.184,TCP,Allow,38015,0.21
N00184,2025-03-27 05:01:21,151.217.236.220,152.185.135.60,HTTP,Reset,48925,0.49
N00185,2025-04-10 06:42:04,194.144.244.253,193.220.248.245,HTTPS,Allow,10616,0.99
N00186,2025-04-05 18:25:37,159.149.94.209,195.84.56.176,ICMP,Block,6110,0.79
N00187,2025-04-13 03:37:51,20.22.59.105,35.219.68.114,UDP,Block,49496,0.97
N00188,2025-04-10 04:59:04,219.157.8.102,215.172.90.232,HTTP,Block,11421,0.09
N00189,2025-03-29 12:02:11,137.116.255.127,186.67.117.214,HTTPS,Block,8540,0.62
N00190,2025-03-23 01:07:42,12.237.142.209,73.123.87.98,HTTPS,Block,45935,0.8
N00191,2025-03-17 13:15:42,43.169.87.136,34.188.238.60,HTTP,Allow,33477,0.58
N00192,2025-04-05 01:42:48,145.210.154.217,177.139.23.213,HTTPS,Allow,33479,0.36
N00193,2025-03-22 13:10:49,203.49.170.171,36.190.46.242,TCP,Allow,46763,0.2
N00194,2025-04-06 09:01:03,31.102.243.84,167.109.16.145,HTTP,Allow,45548,0.57
N00195,2025-03-20 06:18:03,152.236.190.126,27.227.223.191,UDP,Reset,21963,0.26
N00196,2025-03-16 15:03:13,145.33.219.106,80.203.241.201,TCP,Reset,22941,0.95
N00197,2025-03-18 16:35:50,189.94.67.14,160.31.63.160,ICMP,Reset,5051,0.63
N00198,2025-03-15 17:35:29,203.31.134.114,21.11.52.195,ICMP,Block,33937,0.78
N00199,2025-03-24 21:29:50,94.5.53.7,116.118.204.102,ICMP,Allow,33656,0.03
N00200,2025-03-28 20:36:43,193.17.140.138,133.232.22.137,HTTPS,Block,35352,0.51
N00201,2025-03-24 00:48:22,199.80.175.53,159.73.86.119,UDP,Reset,18524,0.65
N00202,2025-03-19 05:52:21,201.101.148.65,138.250.27.29,UDP,Block,15013,0.91
N00203,2025-03-29 02:04:59,126.21.80.19,211.232.54.7,ICMP,Allow,45037,0.76
N00204,2025-04-01 18:34:47,219.9.169.237,207.95.170.240,HTTPS,Reset,9311,0.36
N00205,2025-04-01 18:18:22,42.186.36.50,147.183.161.75,TCP,Block,9102,0.42
N00206,2025-03-23 06:54:05,16.93.140.209,68.111.204.209,HTTP,Reset,11536,0.92
N00207,2025-03-18 14:53:34,211.102.251.26,201.130.97.198,HTTPS,Block,43475,0.56
N00208,2025-04-04 10:02:21,203.165.31.145,56.144.172.73,ICMP,Block,43531,0.17
N00209,2025-04-10 12:29:19,93.10.14.42,150.186.117.223,HTTPS,Reset,25714,0.15
N00210,2025-04-02 05:54:27,67.250.44.252,148.172.115.248,HTTP,Reset,21284,0.09
N00211,2025-04-01 01:25:34,151.95.17.197,59.82.123.26,ICMP,Block,10455,0.39
N00212,2025-03-26 03:59:30,150.47.100.94,162.222.47.195,TCP,Reset,21393,0.61
N00213,2025-04-08 07:32:29,78.9.107.172,22.86.114.92,HTTP,Allow,24189,0.94
N00214,2025-04-04 22:23:11,99.67.157.15,36.128.229.172,HTTP,Block,28517,0.09
N00215,2025-04-08 10:33:20,137.150.126.130,156.132.187.240,UDP,Block,32782,0.33
N00216,2025-03-15 01:56:12,77.94.9.243,67.168.230.86,HTTPS,Allow,18238,0.52
N00217,2025-03-19 22:43:39,93.10.132.135,216.38.233.6,UDP,Allow,9329,0.05
N00218,2025-03-19 19:31:36,174.138.78.66,188.109.229.44,HTTP,Allow,44116,0.06
N00219,2025-03-16 06:08:04,103.242.209.240,214.76.170.11,HTTP,Block,27901,0.94
N00220,2025-03-19 17:51:06,4.179.61.159,155.139.0.130,HTTPS,Allow,10228,0.61
N00221,2025-04-06 05:43:25,217.152.126.192,187.128.195.246,UDP,Block,20866,0.83
N00222,2025-04-09 12:00:38,222.171.11.246,146.162.151.87,HTTP,Block,29229,0.15
N00223,2025-03-27 20:12:06,215.101.166.90,109.3.59.188,UDP,Allow,31551,0.89
N00224,2025-03-31 03:05:33,163.11.207.48,199.89.233.45,UDP,Block,15322,0.34
N00225,2025-04-04 00:27:24,210.237.92.242,192.129.46.254,HTTPS,Block,25452,0.94
N00226,2025-03-25 09:36:26,140.172.214.167,100.160.46.70,HTTP,Block,206,0.41
N00227,2025-04-08 03:57:41,110.177.81.80,214.125.60.148,TCP,Reset,9784,0.42
N00228,2025-03-18 14:12:14,26.47.192.132,223.62.142.210,HTTPS,Allow,40638,0.82
N00229,2025-04-02 16:10:03,215.223.65.107,213.14.217.161,HTTPS,Allow,48953,0.96
N00230,2025-03-25 10:11:49,193.186.201.77,218.112.193.121,HTTP,Block,14257,0.18
N00231,2025-04-10 11:45:00,221.85.15.7,198.220.166.93,HTTPS,Reset,32380,0.4
N00232,2025-03-15 22:17:42,92.178.234.39,194.203.58.124,TCP,Reset,29208,0.44
N00233,2025-04-09 09:17:50,168.248.24.9,200.210.116.90,UDP,Block,39423,0.09
N00234,2025-04-04 18:46:54,45.245.211.216,177.42.144.68,HTTP,Block,42591,0.97
N00235,2025-03-25 13:01:20,6.229.197.40,153.225.93.117,TCP,Reset,15424,0.4
N00236,2025-03-30 07:54:07,121.56.189.193,13.153.120.245,TCP,Reset,105,0.56
N00237,2025-04-09 22:54:57,121.220.245.128,91.151.132.73,TCP,Reset,36700,0.99
N00238,2025-03-18 13:29:02,69.252.218.226,49.177.60.113,ICMP,Reset,25314,0.34
N00239,2025-04-09 05:31:42,33.60.80.71,67.181.250.251,ICMP,Block,19416,0.27
N00240,2025-03-26 01:18:06,154.1.227.142,213.243.113.109,HTTPS,Reset,33871,0.66
N00241,2025-03-29 12:17:52,167.229.101.187,213.34.173.82,ICMP,Allow,19731,0.81
N00242,2025-03-24 20:59:12,110.254.253.149,191.31.234.243,TCP,Reset,14753,0.51
N00243,2025-04-04 20:58:02,198.154.238.181,139.95.139.86,HTTPS,Allow,18025,0.57
N00244,2025-04-02 19:14:04,48.223.49.251,217.233.57.157,HTTPS,Allow,15073,0.27
N00245,2025-04-11 19:18:01,219.3.30.75,189.65.199.246,TCP,Allow,12422,0.19
N00246,2025-04-03 02:16:03,20.253.208.184,211.154.26.117,HTTPS,Reset,19446,0.04
N00247,2025-04-10 16:58:33,200.254.225.12,120.22.112.13,TCP,Reset,31211,0.93
N00248,2025-03-28 21:24:52,70.199.160.182,115.161.167.204,TCP,Allow,26263,0.5
N00249,2025-04-06 21:48:09,185.233.244.49,208.85.24.103,HTTP,Block,10028,0.48
N00250,2025-04-01 05:46:06,81.68.168.120,6.26.123.234,ICMP,Block,48485,0.05
N00251,2025-03-16 05:19:24,173.1.220.248,24.195.211.20,TCP,Block,12875,0.15
N00252,2025-03-24 06:07:30,211.147.101.185,102.52.156.29,HTTPS,Reset,27047,0.84
N00253,2025-03-31 12:24:15,110.24.236.176,122.139.29.50,TCP,Allow,15757,0.88
N00254,2025-03-20 20:27:08,56.4.252.31,201.40.54.133,UDP,Allow,22080,0.45
N00255,2025-03-14 19:33:05,157.60.87.209,6.51.66.51,UDP,Block,38516,0.47
N00256,2025-04-12 23:40:05,207.216.103.179,161.201.109.84,HTTP,Block,6065,0.8
N00257,2025-04-10 20:55:54,118.141.76.87,219.33.192.60,HTTP,Block,17823,0.89
N00258,2025-03-17 17:26:29,187.69.7.46,115.98.107.129,TCP,Allow,30231,0.44
N00259,2025-03-15 16:51:08,164.43.16.242,173.125.241.174,ICMP,Block,33064,0.04
N00260,2025-03-29 08:02:35,138.56.70.125,53.150.45.75,TCP,Reset,44208,0.66
N00261,2025-04-12 14:39:10,209.120.176.188,186.253.12.61,HTTP,Block,29167,0.93
N00262,2025-04-11 12:29:20,41.131.59.66,182.113.191.67,TCP,Block,46981,0.78
N00263,2025-04-05 15:48:03,197.164.75.143,26.10.177.187,HTTPS,Allow,41086,0.93
N00264,2025-04-13 06:26:43,183.133.203.183,136.227.176.46,TCP,Reset,6247,0.4
N00265,2025-03-23 02:41:39,119.153.200.46,29.65.177.240,UDP,Allow,34198,0.67
N00266,2025-03-18 06:00:42,217.206.251.115,18.130.143.11,HTTP,Block,17143,0.8
N00267,2025-04-06 06:29:59,150.197.215.220,208.233.30.201,HTTP,Reset,45866,0.62
N00268,2025-04-09 03:59:44,207.144.158.60,72.168.142.250,TCP,Block,45306,0.49
N00269,2025-04-12 10:04:11,100.200.19.118,111.220.208.122,HTTPS,Allow,35814,0.44
N00270,2025-04-05 03:59:32,165.118.71.221,188.147.230.43,ICMP,Allow,311,0.04
N00271,2025-03-18 08:22:35,206.137.255.157,132.101.232.107,HTTPS,Reset,17897,0.73
N00272,2025-03-26 03:16:38,219.100.4.107,170.201.63.66,ICMP,Block,38694,0.52
N00273,2025-04-03 13:23:15,56.73.35.229,218.100.78.191,ICMP,Block,37284,0.6
N00274,2025-03-22 15:57:58,199.47.243.10,209.98.187.143,HTTP,Block,13258,0.89
N00275,2025-04-01 04:17:21,42.56.244.172,30.6.215.229,UDP,Reset,11958,0.46
N00276,2025-03-15 06:44:07,204.219.147.50,16.0.235.169,HTTPS,Allow,31780,0.07
N00277,2025-03-24 23:14:36,172.211.147.45,5.238.68.210,HTTP,Block,35201,0.94
N00278,2025-03-16 17:05:20,203.28.217.235,192.152.61.170,UDP,Allow,44541,0.05
N00279,2025-03-19 10:57:32,101.55.72.125,61.91.104.4,ICMP,Allow,40660,0.74
N00280,2025-03-18 13:15:31,145.92.171.177,204.37.247.27,UDP,Allow,34919,0.51
N00281,2025-03-21 05:02:50,190.41.152.123,52.173.207.220,HTTPS,Allow,13247,0.62
N00282,2025-03-28 14:38:54,177.117.28.247,70.98.194.235,TCP,Reset,19220,0.7
N00283,2025-04-04 11:14:30,98.182.147.223,129.110.97.148,HTTPS,Allow,33832,0.98
N00284,2025-04-10 16:51:22,186.173.216.108,210.195.47.168,TCP,Reset,2791,0.64
N00285,2025-04-13 15:06:22,6.60.146.255,175.174.172.14,TCP,Allow,20716,0.74
N00286,2025-03-30 00:00:59,56.19.20.169,55.188.134.167,UDP,Allow,18498,0.43
N00287,2025-04-08 06:46:12,57.0.38.32,53.15.3.194,ICMP,Allow,42624,0.26
